xgappid,userid,appname,addtime,usertype,logourl,packagename
98000617,tako_5656e63aa2aa4c0861001a2b,Kitty,1450692858,0,ks3-public/logo/16d7d1b5-b119-4fc2-61ba-577a2e236f01.png,com.tencent.kitty638
98000618,tako_5656e63aa2aa4c0861001a2b,阿狸,1450692935,0,ks3-public/logo/5d00352f-7043-4ca8-4c28-82340a291988.png,com.tencent.dkal638
98000619,tako_5656e63aa2aa4c0861001a2b,哆啦A梦,1450692963,0,ks3-public/logo/185a8ed6-e130-48c0-4e8e-58f908980f97.png,com.tencent.duolaameng638
98000620,tako_5656e63aa2aa4c0861001a2b,布朗熊,1450708695,0,ks3-public/logo/47e0bb5f-379d-4de3-49a6-09097efbd1d9.png,com.tencent.bulangxiong
98000621,tako_5678a3e3a2aa4c574f3c7cba,宅易购商家端,1450746909,0,ks3-public/logo/4159daeb-f630-442c-401a-5fe5424c1cb0.png,net.o2odcsj.www
98000622,tako_56580b64a2aa4c08610037e6,加粉神器 官方微信号：jiafenvip 截图保存 以备后用！,1450773467,0,ks3-public/logo/61fc91f8-c24c-42c4-4736-54abdb86abec.png,tm.yl115
98000623,tako_567a135aa2aa4c574f3c8feb,微信,1450841306,0,ks3-public/logo/12e7b277-ea63-4d46-68cb-6f2d1b3f6413.png,com.tencent123.xin
98000624,tako_567a965ea2aa4c574f3c9a81,Kitty,1450874676,0,ks3-public/logo/a933c18f-deaa-4315-428c-1d03dee2da2e.png,com.tencent.kitty638
98000625,tako_567aa7b9a2aa4c574f3c9c48,STELLA,1450913745,0,ks3-public/logo/c80bef62-e700-47fc-709d-3ea90f95bf12.png,com.zywx.AppCan1
98000626,tako_567aa7b9a2aa4c574f3c9c48,STELLA,1450914121,0,ks3-public/logo/daa0c3ba-f16c-4554-5177-5511ad7a12d8.png,com.zywx.ide
98000627,tako_5656e63aa2aa4c0861001a2b,mvone ，更多多开加微信banzjy,1450916755,0,ks3-public/logo/bb518123-08b8-498c-41e0-33a0bca34e5a.png,cn.bigxue.gemvone
98000628,tako_5656e63aa2aa4c0861001a2b,mvtwo，更多多开加微信banzjy,1450919684,0,ks3-public/logo/e069c396-2c56-48b8-7ce8-63449a144cda.png,cn.bigxue.gemvtwo
98000629,tako_5656e63aa2aa4c0861001a2b,Red,1451029612,0,ks3-public/logo/c10354de-32e5-4e31-5a4b-31c1b85ccc9e.png,cn.bigxue.gemvthree
98000630,xg__ce8ba9b2863f0c72f89435da52b911f00d8c5af61e0a48cc2d33a4de7fc45695,TakoPOC,1451033877,0,ks3-public/logo/d5359b84-9b96-48c9-467f-198c49dbc2c7.png,com.jx3.m.jx3pocket.tako
98000631,xg__ce8ba9b2863f0c72f89435da52b911f00d8c5af61e0a48cc2d33a4de7fc45695,TakoPOC,1451034421,0,ks3-public/logo/48db6b2d-3d5d-43ad-7c34-244f17b2a02c.png,com.ksg.tako.poc
98000632,tako_564c982ee138233546000ce5,Greenc,1451047968,0,ks3-public/logo/b1792843-89a8-43ad-4c76-8ab0c101e8f7.png,cn.bigxue.ge.c.cvfour
98000633,tako_564c982ee138233546000ce5,Violetc,1451051463,0,ks3-public/logo/be29ac90-9269-43b3-59dc-f5bb31032147.png,cn.bigxue.ge.c.cvone
98000634,tako_564c982ee138233546000ce5,Redc,1451052487,0,ks3-public/logo/91a44fd3-b5bb-42a8-65cd-dae46c45fc8b.png,cn.bigxue.ge.c.cvthree
98000635,tako_564c982ee138233546000ce5,Pinkc,1451053116,0,ks3-public/logo/dc4656fd-8aff-454b-56fe-a455b50f74da.png,cn.bigxue.ge.c.cvtwo
